,RespondentID,"In your own words, what would you call the part of the country you live in now?",Personally identification as a Midwesterner?,Illinois in MW?,Indiana in MW?,Iowa in MW?,Kansas in MW?,Michigan in MW?,Minnesota in MW?,Missouri in MW?,Nebraska in MW?,North Dakota in MW?,Ohio in MW?,South Dakota in MW?,Wisconsin in MW?,Arkansas in MW?,Colorado in MW?,Kentucky in MW?,Oklahoma in MW?,Pennsylvania in MW?,West Virginia in MW?,Montana in MW?,Wyoming in MW?,ZIP Code,Gender,Age,Household Income,Education,Location (Census Region)
23,3123259973,backwoods,Not at all,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,90036.0,Male,30-44,"$150,000+",Graduate degree,Pacific
24,3121009122,hawaii,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,96814.0,Male,30-44,"$150,000+",Graduate degree,Pacific
25,3120934385,ohio,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98101.0,Male,30-44,"$150,000+",Graduate degree,Pacific
26,3122060778,america,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95018.0,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
27,3121880478,backwoods,Not at all,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,94044.0,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
28,3121595633,backwoods,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,92253.0,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
29,3120763382,backwoods,Not much,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,99336.0,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
30,3120803644,backwoods,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,94037.0,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
31,3122916809,pacific,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,96753.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
32,3122839962,ohio,Not at all,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97132.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
33,3122117623,pittsburgh,Not at all,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,39180.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
34,3121665564,pennsylvania,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,92128.0,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
35,3122514783,america,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,93523.0,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific
36,3124273278,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,92122.0,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
37,3122362646,backwoods,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,92103.0,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
38,3122532281,backwoods,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,98087.0,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
39,3120974639,backwoods,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92345.0,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
40,3123239009,southwest,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,92028.0,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific
41,3121899027,backwoods,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,97520.0,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
42,3120988002,southerncalifornia,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,92107.0,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
43,3120859754,ohio,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,98648.0,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
44,3123267828,canada,Not at all,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,95482.0,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
45,3123011326,ohio,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97223.0,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
46,3121856210,backwoods,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94706.0,Male,45-60,"$50,000 - $99,999",Graduate degree,Pacific
47,3122534347,ohio,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,94040.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
48,3122985780,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,95822.0,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
49,3122960659,backwoods,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,94085.0,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
50,3123371447,backwoods,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,93602.0,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
51,3122249112,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95747.0,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
52,3122206749,california,Not at all,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,95076.0,Male,> 60,"$25,000 - $49,999",Graduate degree,Pacific
53,3120730189,backwoods,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,91941.0,Female,45-60,"$25,000 - $49,999",Graduate degree,Pacific
54,3124641634,northwest,Not at all,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,97080.0,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
55,3123923594,backwoods,Some,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,97914.0,Male,30-44,"$25,000 - $49,999",Graduate degree,Pacific
56,3120717354,northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,97214.0,Female,18-29,"$25,000 - $49,999",Graduate degree,Pacific
57,3122453400,backwoods,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,95336.0,Female,> 60,"$0 - $24,999",Graduate degree,Pacific
58,3122984492,northwest,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98102.0,Male,> 60,"$0 - $24,999",Graduate degree,Pacific
59,3122478886,backwoods,Not at all,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,92105.0,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
60,3120863583,backwoods,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,97321.0,Female,45-60,"$0 - $24,999",Graduate degree,Pacific
61,3122704816,backwoods,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,94611.0,Male,45-60,"$0 - $24,999",Graduate degree,Pacific
62,3122609115,backwoods,Not at all,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,97760.0,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
63,3123134716,america,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,94114.0,Female,> 60,"$150,000+",Associate or bachelor degree,Pacific
64,3122884823,hawaii,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,98027.0,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
65,3121602717,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92122.0,Male,> 60,"$150,000+",Associate or bachelor degree,Pacific
66,3122356949,america,Not at all,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91739.0,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
67,3122236261,southwest,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92128.0,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
68,3122169270,southerncalifornia,Not at all,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92131.0,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
69,3123336216,backwoods,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,91604.0,Female,45-60,"$150,000+",Associate or bachelor degree,Pacific
70,3123253371,backwoods,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,97224.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
71,3122837629,northwest,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,97525.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
72,3122214526,backwoods,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,89338.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
73,3122041812,ohio,Not at all,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,98040.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
74,3121853379,ohio,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,99114.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
75,3122544560,california,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,95060.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
76,3122593460,backwoods,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,98033.0,Male,45-60,"$150,000+",Associate or bachelor degree,Pacific
77,3121842768,america,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,94588.0,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
78,3121755352,backwoods,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92026.0,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
79,3123290504,southerncalifornia,Some,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92131.0,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
80,3123889854,backwoods,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,93401.0,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
81,3123116237,ohio,Not at all,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,97701.0,Female,30-44,"$150,000+",Associate or bachelor degree,Pacific
82,3122329190,southerncalifornia,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,92024.0,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
83,3120952256,arizona,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,92009.0,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
84,3123281575,ohio,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,97007.0,Male,30-44,"$150,000+",Associate or bachelor degree,Pacific
85,3123294441,backwoods,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92115.0,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
86,3126029388,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97302.0,Male,18-29,"$150,000+",Associate or bachelor degree,Pacific
87,3122133054,america,Not much,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,91406.0,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
88,3123169375,ohio,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,97062.0,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
89,3122982573,southwestcoastal,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,92123.0,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
90,3122410218,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94526.0,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
91,3120895564,backwoods,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,91702.0,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
92,3123174455,ohio,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,97056.0,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,Pacific
93,3120765702,ohio,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98107.0,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
94,3123007532,america,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,95409.0,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
95,3124728773,backwoods,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,91320.0,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
96,3123382748,backwoods,Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,99709.0,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
97,3123206568,america,Not at all,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,96816.0,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
98,3122633633,backwoods,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,90803.0,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
99,3122584527,ohio,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,98144.0,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,Pacific
100,3121909529,canada,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,94044.0,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
101,3123272749,northwest,Not at all,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,98329.0,Female,18-29,"$100,000 - $149,999",Associate or bachelor degree,Pacific
102,3122103336,california,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,95472.0,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
103,3120924055,canada,Not at all,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,94609.0,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
104,3120771033,backwoods,Not at all,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,95531.0,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
105,3121163473,westernregion,Some,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,90034.0,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
106,3122347727,florida,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,96789.0,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
107,3122508565,backwoods,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,98337.0,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
108,3120894287,america,Not at all,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,95610.0,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
109,3120778017,backwoods,Not at all,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,92629.0,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
110,3120938625,backwoods,Not much,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,94550.0,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
111,3122458975,backwoods,A lot,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,95207.0,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
112,3124160666,southerncalifornia,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92260.0,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
113,3124148317,southwest,Not at all,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,91730.0,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
114,3122791086,california,Not much,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,95368.0,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,Pacific
115,3122849784,ohio,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,98375.0,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
116,3122930585,ohio,Some,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98021.0,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
117,3124212354,backwoods,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,91710.0,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
118,3122459101,northwest,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,544.0,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
119,3123274327,backwoods,Not much,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,92108.0,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
120,3122808504,backwoods,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,91601.0,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
121,3120944367,northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,97006.0,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,Pacific
122,3121945620,america,Not at all,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,92630.0,Female,18-29,"$50,000 - $99,999",Associate or bachelor degree,Pacific
